date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:07:15	300/300	---MCZ	200	added ('OK')	text/plain	etag:W/%221f0-lMP92WYPkdyX9o1kF+4AXsMPf+w%22	https://www.david-declercq.com/robots.txt		(from )
14:07:16	448547/448547	---M--	200	added ('OK')	text/html	etag:W/%2289fd222a9d0f4bf6ab9a8cc22acb5c0d%22	https://www.david-declercq.com/	C:/My%20Web%20Sites/WIXBackup_Vidde/www.david-declercq.com/index.html	(from )
14:07:17	4074/4074	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202026%2012:07:17%20GMT	https://static.wixstatic.com/media/546124_d70baf51439a4fe9af5b7ca9da8d6329~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/546124_d70baf51439a4fe9af5b7ca9da8d6329~mv2.jpg	C:/My%20Web%20Sites/WIXBackup_Vidde/static.wixstatic.com/media/546124_d70baf51439a4fe9af5b7ca9da8d6329_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/546124_d70baf51439a4fe9af5b7ca9da8d6329_mv2.jpg	(from https://www.david-declercq.com/)
14:07:17	961/961	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202026%2012:07:18%20GMT	https://static.wixstatic.com/media/546124_d70baf51439a4fe9af5b7ca9da8d6329~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/546124_d70baf51439a4fe9af5b7ca9da8d6329~mv2.jpg	C:/My%20Web%20Sites/WIXBackup_Vidde/static.wixstatic.com/media/546124_d70baf51439a4fe9af5b7ca9da8d6329_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/546124_d70baf51439a4fe9af5b7ca9da8d6329_mv2.jpg	(from https://www.david-declercq.com/)
14:07:17	3932/3932	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202026%2012:07:18%20GMT	https://static.wixstatic.com/media/546124_d70baf51439a4fe9af5b7ca9da8d6329~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/546124_d70baf51439a4fe9af5b7ca9da8d6329~mv2.jpg	C:/My%20Web%20Sites/WIXBackup_Vidde/static.wixstatic.com/media/546124_d70baf51439a4fe9af5b7ca9da8d6329_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/546124_d70baf51439a4fe9af5b7ca9da8d6329_mv2.jpg	(from https://www.david-declercq.com/)
14:07:17	432253/432253	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/My%20Web%20Sites/WIXBackup_Vidde/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.david-declercq.com/)
14:07:18	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/WIXBackup_Vidde/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.david-declercq.com/)
14:07:18	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/WIXBackup_Vidde/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.david-declercq.com/)
14:07:18	2203/2203	---MCZ	400	error ('Bad%20Request')	text/html	date:Thu,%2023%20Jul%202026%2012:07:19%20GMT	https://www.david-declercq.com/O,location.href	C:/My%20Web%20Sites/WIXBackup_Vidde/www.david-declercq.com/O,location.6.delayed	(from https://www.david-declercq.com/)
14:07:19	2204/2204	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Jul%202026%2012:07:19%20GMT	https://www.david-declercq.com/e	C:/My%20Web%20Sites/WIXBackup_Vidde/www.david-declercq.com/e.7.delayed	(from https://www.david-declercq.com/)
14:07:19	2204/2204	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Jul%202026%2012:07:20%20GMT	https://www.david-declercq.com/t	C:/My%20Web%20Sites/WIXBackup_Vidde/www.david-declercq.com/t.8.delayed	(from https://www.david-declercq.com/)
14:07:19	5738/5738	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20Jul%202026%2012:07:20%20GMT	https://static.wixstatic.com/media/546124_f5586b66d3ac42cb8b2982e70ca31563~mv2_d_3446_2883_s_4_2.jpg/v1/fill/w_288,h_241,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/546124_f5586b66d3ac42cb8b2982e70ca31563~mv2_d_3446_2883_s_4_2.jpg	C:/My%20Web%20Sites/WIXBackup_Vidde/static.wixstatic.com/media/546124_f5586b66d3ac42cb8b2982e70ca31563_mv2_d_3/v1/fill/w_288,h_241,al_c,q_80,usm_0.66_1.00_0.01,blur_2/546124_f5586b66d3ac42cb8b2982e70ca31563_mv2_d_3446_2883_s_4_2.jpg	(from https://www.david-declercq.com/)
14:07:20	478438/478438	---MCZ	200	added ('OK')	text/html	etag:W/%225b9e9462ae02abe2703ad08055492b02%22	https://www.david-declercq.com/lees	C:/My%20Web%20Sites/WIXBackup_Vidde/www.david-declercq.com/lees.html	(from https://www.david-declercq.com/)
14:07:21	461518/461518	---MCZ	200	added ('OK')	text/html	etag:W/%22a567f3924e6e9185cde51f5c9bf2e621%22	https://www.david-declercq.com/schrijf	C:/My%20Web%20Sites/WIXBackup_Vidde/www.david-declercq.com/schrijf.html	(from https://www.david-declercq.com/)
